Player,Time,ACS,Kills,Death,Assists,Kills - Death,ADR,First Kill,First Death,First Kill - First Death,HS%,Adversário,Mapa,Mapa Pick,Lado de Início,Data,Rounds Vencidos,Rounds Perdidos,Astra,Breach,Brimstone,Cypher,Jett,Kay/O,Killjoy,Omen,Phoenix,Raze,Reyna,Sage,Skye,Sova,Viper,Yoru,Etapa,Campeonato,Bracket,MD
let,Havan Liberty Female,578,27,7,1,20,"3.337,00",6,1,5,34%,Bunny Gaming Unifei,Ascent,Null,Defesa,25/03/2021,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
mittens,Havan Liberty Female,370,18,4,3,14,"2.132,00",4,1,3,52%,Bunny Gaming Unifei,Ascent,Null,Defesa,25/03/2021,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
may,Havan Liberty Female,165,8,1,4,7,"972,00",1,0,1,23%,Bunny Gaming Unifei,Ascent,Null,Defesa,25/03/2021,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
blu,Havan Liberty Female,148,7,1,6,6,"768,00",0,0,0,44%,Bunny Gaming Unifei,Ascent,Null,Defesa,25/03/2021,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
sayuri,Havan Liberty Female,121,5,3,16,2,"533,00",0,0,0,18%,Bunny Gaming Unifei,Ascent,Null,Defesa,25/03/2021,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
licamoraees,Bunny Gaming Unifei,113,4,13,2,-9,"726,00",0,4,-4,13%,Havan Liberty Female,Ascent,Null,Ataque,25/03/2021,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Maabs,Bunny Gaming Unifei,108,4,13,0,-9,"690,00",0,3,-3,43%,Havan Liberty Female,Ascent,Null,Ataque,25/03/2021,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
frava,Bunny Gaming Unifei,99,3,13,0,-10,"758,00",1,3,-2,17%,Havan Liberty Female,Ascent,Null,Ataque,25/03/2021,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
vinnie,Bunny Gaming Unifei,67,3,13,1,-10,"468,00",0,0,0,27%,Havan Liberty Female,Ascent,Null,Ataque,25/03/2021,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Helly,Bunny Gaming Unifei,52,2,13,2,-11,"306,00",1,1,0,8%,Havan Liberty Female,Ascent,Null,Ataque,25/03/2021,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
mittens,Havan Liberty Female,335,17,5,2,12,"2.127,00",3,0,3,33%,Bunny Gaming Unifei,Split,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
let,Havan Liberty Female,285,15,12,2,3,"1.710,00",4,3,1,33%,Bunny Gaming Unifei,Split,Null,Ataque,25/03/2021,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
sayuri,Havan Liberty Female,250,12,2,10,10,"1.484,00",1,0,1,28%,Bunny Gaming Unifei,Split,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
blu,Havan Liberty Female,234,12,4,5,8,"1.354,00",1,0,1,24%,Bunny Gaming Unifei,Split,Null,Ataque,25/03/2021,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
may,Havan Liberty Female,215,12,3,1,9,"1.221,00",1,1,0,17%,Bunny Gaming Unifei,Split,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Maabs,Bunny Gaming Unifei,178,7,14,1,-7,"1.026,00",0,2,-2,20%,Havan Liberty Female,Split,Null,Defesa,25/03/2021,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
frava,Bunny Gaming Unifei,166,6,13,1,-7,"1.083,00",2,1,1,8%,Havan Liberty Female,Split,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
licamoraees,Bunny Gaming Unifei,140,5,14,3,-9,"959,00",1,3,-2,3%,Havan Liberty Female,Split,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
vinnie,Bunny Gaming Unifei,114,6,13,1,-7,"694,00",0,2,-2,10%,Havan Liberty Female,Split,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Helly,Bunny Gaming Unifei,65,2,14,2,-12,"354,00",1,2,-1,6%,Havan Liberty Female,Split,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
giacomiN,Supernova V,259,21,16,5,5,1672,6,7,-1,27%,Vivo Keyd Athenas,Split,Null,Ataque,25/03/2021,11,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
muddt,Supernova V,252,21,14,7,7,1946,3,0,3,21%,Vivo Keyd Athenas,Split,Null,Ataque,25/03/2021,11,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
A pudim,Supernova V,236,18,21,7,-3,1686,2,2,0,9%,Vivo Keyd Athenas,Split,Null,Ataque,25/03/2021,11,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
isay,Supernova V,127,10,19,7,-9,828,1,1,0,3%,Vivo Keyd Athenas,Split,Null,Ataque,25/03/2021,11,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
juju,Supernova V,117,11,17,8,-6,1143,0,3,-3,31%,Vivo Keyd Athenas,Split,Null,Ataque,25/03/2021,11,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
biazik,Vivo Keyd Athenas,265,20,16,5,4,1728,6,2,4,14%,Supernova V,Split,Null,Defesa,25/03/2021,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
antG,Vivo Keyd Athenas,240,22,17,2,5,1481,2,3,-1,20%,Supernova V,Split,Null,Defesa,25/03/2021,13,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Dani,Vivo Keyd Athenas,191,15,20,8,-5,1207,1,1,0,22%,Supernova V,Split,Null,Defesa,25/03/2021,13,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
julEszik,Vivo Keyd Athenas,179,17,13,4,4,1218,1,3,-2,33%,Supernova V,Split,Null,Defesa,25/03/2021,13,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Aninha,Vivo Keyd Athenas,157,12,15,5,-3,1035,2,2,0,22%,Supernova V,Split,Null,Defesa,25/03/2021,13,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
giacomiN,Supernova V,245,14,15,4,-1,1528,2,4,-2,21%,Vivo Keyd Athenas,Ascent,Null,Defesa,25/03/2021,4,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
A pudim,Supernova V,216,12,15,1,-3,1351,3,1,2,1%,Vivo Keyd Athenas,Ascent,Null,Defesa,25/03/2021,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
juju,Supernova V,156,8,15,3,-7,906,2,1,1,26%,Vivo Keyd Athenas,Ascent,Null,Defesa,25/03/2021,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
isay,Supernova V,112,6,15,2,-9,821,0,1,-1,9%,Vivo Keyd Athenas,Ascent,Null,Defesa,25/03/2021,4,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
muddt,Supernova V,99,5,14,0,-9,619,0,3,-3,17%,Vivo Keyd Athenas,Ascent,Null,Defesa,25/03/2021,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
antG,Vivo Keyd Athenas,313,19,11,5,8,1833,5,4,1,14%,Supernova V,Ascent,Null,Ataque,25/03/2021,13,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
biazik,Vivo Keyd Athenas,248,16,9,4,7,1661,0,0,0,13%,Supernova V,Ascent,Null,Ataque,25/03/2021,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
julEszik,Vivo Keyd Athenas,240,14,8,11,6,1495,1,0,1,41%,Supernova V,Ascent,Null,Ataque,25/03/2021,13,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Aninha,Vivo Keyd Athenas,231,15,7,4,8,1397,2,2,0,23%,Supernova V,Ascent,Null,Ataque,25/03/2021,13,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Dani,Vivo Keyd Athenas,177,10,11,4,-1,986,2,1,1,4%,Supernova V,Ascent,Null,Ataque,25/03/2021,13,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
bstrdd,Gamelanders Purple,353,24,11,4,13,2443,6,3,3,34%,News,Split,Null,Defesa,25/03/2021,13,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
daiki,Gamelanders Purple,232,15,11,8,4,1854,3,2,1,16%,News,Split,Null,Defesa,25/03/2021,13,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Drn,Gamelanders Purple,222,13,12,7,1,1363,0,2,-2,7%,News,Split,Null,Defesa,25/03/2021,13,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
naxy,Gamelanders Purple,216,16,7,0,9,976,2,1,1,12%,News,Split,Null,Defesa,25/03/2021,13,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
nat1,Gamelanders Purple,130,8,9,6,-1,843,0,0,0,25%,News,Split,Null,Defesa,25/03/2021,13,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Mirek,News,241,13,16,9,-3,2212,3,0,3,27%,Gamelanders Purple,Split,Null,Ataque,25/03/2021,6,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
lola,News,201,13,14,1,-1,1220,2,0,2,19%,Gamelanders Purple,Split,Null,Ataque,25/03/2021,6,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Thalyta,News,171,12,14,3,-2,1084,0,6,-6,7%,Gamelanders Purple,Split,Null,Ataque,25/03/2021,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
tatá,News,159,9,17,5,-8,981,3,1,2,15%,Gamelanders Purple,Split,Null,Ataque,25/03/2021,6,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
meLL,News,68,3,15,1,-12,434,0,4,-4,4%,Gamelanders Purple,Split,Null,Ataque,25/03/2021,6,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
nat1,Gamelanders Purple,358,20,6,2,14,2230,4,0,4,29%,News,Ascent,Null,Defesa,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
bstrdd,Gamelanders Purple,318,16,9,4,7,1630,7,1,6,48%,News,Ascent,Null,Defesa,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
naxy,Gamelanders Purple,251,13,6,5,7,1783,1,0,1,6%,News,Ascent,Null,Defesa,25/03/2021,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
daiki,Gamelanders Purple,251,14,4,6,10,1649,0,0,0,29%,News,Ascent,Null,Defesa,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Drn,Gamelanders Purple,121,6,10,4,-4,668,1,0,1,13%,News,Ascent,Null,Defesa,25/03/2021,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Thalyta,News,247,12,14,3,-2,1350,0,4,-4,14%,Gamelanders Purple,Ascent,Null,Ataque,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
lola,News,164,9,13,2,-4,1007,0,0,0,25%,Gamelanders Purple,Ascent,Null,Ataque,25/03/2021,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
tatá,News,138,5,14,3,-9,879,0,4,-4,30%,Gamelanders Purple,Ascent,Null,Ataque,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
meLL,News,136,5,14,4,-9,939,0,2,-2,9%,Gamelanders Purple,Ascent,Null,Ataque,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Mirek,News,86,4,14,1,-10,467,1,3,-2,14%,Gamelanders Purple,Ascent,Null,Ataque,25/03/2021,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
maze,Seirin,225,18,14,8,4,1376,3,4,-1,28%,MITYK,Ascent,Null,Defesa,25/03/2021,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Chew,Seirin,220,18,14,5,4,1427,3,0,3,20%,MITYK,Ascent,Null,Defesa,25/03/2021,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
natz,Seirin,210,16,16,4,0,1340,1,1,0,34%,MITYK,Ascent,Null,Defesa,25/03/2021,13,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Ori,Seirin,189,14,15,5,-1,1560,5,4,1,11%,MITYK,Ascent,Null,Defesa,25/03/2021,13,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Hanna,Seirin,163,13,15,3,-2,1551,0,1,-1,19%,MITYK,Ascent,Null,Defesa,25/03/2021,13,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
M1nnie,MITYK,264,18,18,5,0,1722,3,4,-1,13%,Seirin,Ascent,Null,Ataque,25/03/2021,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Myh,MITYK,235,18,15,6,3,1380,4,2,2,16%,Seirin,Ascent,Null,Ataque,25/03/2021,9,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Behide,MITYK,213,18,15,2,3,1374,1,0,1,15%,Seirin,Ascent,Null,Ataque,25/03/2021,9,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Moya,MITYK,145,11,15,3,-4,732,1,3,-2,30%,Seirin,Ascent,Null,Ataque,25/03/2021,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Lari sa,MITYK,129,9,16,3,-7,819,1,3,-2,17%,Seirin,Ascent,Null,Ataque,25/03/2021,9,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
natz,Seirin,280,25,23,7,2,1566,6,3,3,18%,MITYK,Bind,Null,Ataque,25/03/2021,12,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Ori,Seirin,236,21,18,13,3,1574,2,1,1,29%,MITYK,Bind,Null,Ataque,25/03/2021,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Chew,Seirin,186,16,19,8,-3,1149,2,3,-1,16%,MITYK,Bind,Null,Ataque,25/03/2021,12,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Hanna,Seirin,159,13,23,5,-10,1156,0,5,-5,20%,MITYK,Bind,Null,Ataque,25/03/2021,12,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
maze,Seirin,158,15,20,7,-5,1048,1,3,-2,26%,MITYK,Bind,Null,Ataque,25/03/2021,12,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Lari sa,MITYK,340,31,19,6,12,1880,6,2,4,16%,Seirin,Bind,Null,Defesa,25/03/2021,14,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Behide,MITYK,259,25,19,5,6,1569,3,2,1,13%,Seirin,Bind,Null,Defesa,25/03/2021,14,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
M1nnie,MITYK,195,16,17,6,-1,1545,2,1,1,19%,Seirin,Bind,Null,Defesa,25/03/2021,14,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Moya,MITYK,175,18,14,3,4,1522,2,2,0,29%,Seirin,Bind,Null,Defesa,25/03/2021,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Myh,MITYK,157,13,21,7,-8,1054,2,4,-2,17%,Seirin,Bind,Null,Defesa,25/03/2021,14,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Chew,Seirin,229,12,14,6,-2,1646,3,1,2,14%,MITYK,Split,Null,Defesa,25/03/2021,5,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
maze,Seirin,212,15,15,2,0,1071,3,3,0,18%,MITYK,Split,Null,Defesa,25/03/2021,5,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
natz,Seirin,194,11,16,5,-5,1289,2,1,1,15%,MITYK,Split,Null,Defesa,25/03/2021,5,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Hanna,Seirin,138,8,16,2,-8,936,0,2,-2,42%,MITYK,Split,Null,Defesa,25/03/2021,5,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Ori,Seirin,91,5,16,8,-11,561,1,2,-1,14%,MITYK,Split,Null,Defesa,25/03/2021,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Myh,MITYK,390,27,7,2,20,2099,3,1,2,18%,Seirin,Split,Null,Ataque,25/03/2021,13,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Behide,MITYK,233,16,10,2,6,1492,0,2,-2,14%,Seirin,Split,Null,Ataque,25/03/2021,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Lari sa,MITYK,227,16,8,2,8,1399,3,1,2,17%,Seirin,Split,Null,Ataque,25/03/2021,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
M1nnie,MITYK,182,9,14,6,-5,1091,2,4,-2,9%,Seirin,Split,Null,Ataque,25/03/2021,13,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Moya,MITYK,150,9,12,10,-3,1101,1,1,0,29%,Seirin,Split,Null,Ataque,25/03/2021,13,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
bubu,BEEHIVE eSports,325,17,4,4,13,2068,3,0,3,17%,Haven Girls,Ascent,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
lezinha,BEEHIVE eSports,324,18,5,6,13,1564,2,0,2,22%,Haven Girls,Ascent,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Moonnnn,BEEHIVE eSports,286,12,6,6,6,1538,4,3,1,13%,Haven Girls,Ascent,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
nathmoonz,BEEHIVE eSports,216,13,4,1,9,1404,1,0,1,26%,Haven Girls,Ascent,Null,Ataque,25/03/2021,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Bizerra,BEEHIVE eSports,68,4,6,5,-2,513,0,1,-1,30%,Haven Girls,Ascent,Null,Ataque,25/03/2021,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
caahteixeiira,Haven Girls,203,9,13,1,-4,1191,1,0,1,24%,BEEHIVE eSports,Ascent,Null,Defesa,25/03/2021,1,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
HiraLeticia,Haven Girls,132,4,13,5,-9,920,3,6,-3,22%,BEEHIVE eSports,Ascent,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Effy,Haven Girls,117,6,13,1,-7,704,0,1,-1,8%,BEEHIVE eSports,Ascent,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Jujuu,Haven Girls,106,3,12,3,-9,813,0,1,-1,5%,BEEHIVE eSports,Ascent,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Rakta,Haven Girls,63,2,13,2,-11,437,0,2,-2,4%,BEEHIVE eSports,Ascent,Null,Defesa,25/03/2021,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Bizerra,BEEHIVE eSports,245,15,17,9,-2,2028,2,3,-1,19%,Haven Girls,Haven,Null,Defesa,25/03/2021,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
lezinha,BEEHIVE eSports,243,14,18,7,-4,1530,1,1,0,25%,Haven Girls,Haven,Null,Defesa,25/03/2021,6,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Moonnnn,BEEHIVE eSports,225,15,17,5,-2,1352,1,3,-2,11%,Haven Girls,Haven,Null,Defesa,25/03/2021,6,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
nathmoonz,BEEHIVE eSports,197,12,16,7,-4,1374,1,2,-1,12%,Haven Girls,Haven,Null,Defesa,25/03/2021,6,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
bubu,BEEHIVE eSports,175,12,16,8,-4,1548,0,5,-5,11%,Haven Girls,Haven,Null,Defesa,25/03/2021,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Jujuu,Haven Girls,281,20,16,8,4,1755,5,1,4,13%,BEEHIVE eSports,Haven,Null,Ataque,25/03/2021,13,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Rakta,Haven Girls,278,19,15,5,4,1490,3,1,2,16%,BEEHIVE eSports,Haven,Null,Ataque,25/03/2021,13,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
HiraLeticia,Haven Girls,244,17,13,6,4,1490,3,2,1,20%,BEEHIVE eSports,Haven,Null,Ataque,25/03/2021,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
Effy,Haven Girls,226,15,13,10,2,1425,0,0,0,13%,BEEHIVE eSports,Haven,Null,Ataque,25/03/2021,13,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
caahteixeiira,Haven Girls,190,13,11,8,2,1336,3,1,2,28%,BEEHIVE eSports,Haven,Null,Ataque,25/03/2021,13,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
nathmoonz,BEEHIVE eSports,286,15,8,6,7,1917,1,0,1,20%,Haven Girls,Bind,Null,Ataque,25/03/2021,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Protocolo: Gêneses,Oitavas de Final,3
